Dimension:    76    61    27
      lon       lat       dep        vp        dvp      dws_p      vs        dvs      dws_s     VpVs     vpvst
   119.000    21.620   120.000     8.347      .000      .000     4.830      .000      .000     1.728      .000
   119.000    21.620   140.000     8.454      .000      .000     4.892      .000      .000     1.728      .000
   119.000    21.620   170.000     8.525      .000      .000     4.933      .000      .000     1.728      .000
   119.000    21.620   200.000     8.725      .000      .000     5.049      .000      .000     1.728      .000
   119.000    21.620   250.000     8.800      .000      .000     5.093      .000      .000     1.728      .000
   119.000    21.620   300.000     8.900      .000      .000     5.150      .000      .000     1.728      .000
   119.000    21.700    -5.000     3.000      .000      .000     1.736      .000      .000     1.728      .000
   119.000    21.700      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   119.000    21.700      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   119.000    21.700     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   119.000    21.700     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   119.000    21.700    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   119.000    21.700    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
   119.000    21.700    20.000     6.383      .000      .000     3.694      .000      .000     1.728      .000
   119.000    21.700    25.000     6.662      .000      .000     3.855      .000      .000     1.728      .000
   119.000    21.700    30.000     6.997      .000      .000     4.050      .000      .000     1.728      .000
   119.000    21.700    35.000     7.398      .000      .000     4.281      .000      .000     1.728      .000
   119.000    21.700    40.000     7.556      .000      .000     4.373      .000      .000     1.728      .000
   119.000    21.700    45.000     7.714      .000      .000     4.464      .000      .000     1.728      .000
   119.000    21.700    50.000     7.871      .000      .000     4.555      .000      .000     1.728      .000
   119.000    21.700    55.000     7.913      .000      .000     4.579      .000      .000     1.728      .000
   119.000    21.700    60.000     7.955      .000      .000     4.604      .000      .000     1.728      .000
   119.000    21.700    65.000     7.997      .000      .000     4.628      .000      .000     1.728      .000
   119.000    21.700    70.000     8.039      .000      .000     4.652      .000      .000     1.728      .000
   119.000    21.700    80.000     8.100      .000      .000     4.688      .000      .000     1.728      .000
   119.000    21.700    90.000     8.162      .000      .000     4.723      .000      .000     1.728      .000
   119.000    21.700   100.000     8.228      .000      .000     4.762      .000      .000     1.728      .000
   119.000    21.700   120.000     8.347      .000      .000     4.830      .000      .000     1.728      .000
   119.000    21.700   140.000     8.454      .000      .000     4.892      .000      .000     1.728      .000
   119.000    21.700   170.000     8.525      .000      .000     4.933      .000      .000     1.728      .000
   119.000    21.700   200.000     8.725      .000      .000     5.049      .000      .000     1.728      .000
   119.000    21.700   250.000     8.800      .000      .000     5.093      .000      .000     1.728      .000
   119.000    21.700   300.000     8.900      .000      .000     5.150      .000      .000     1.728      .000
   119.000    21.780    -5.000     3.000      .000      .000     1.736      .000      .000     1.728      .000
   119.000    21.780      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   119.000    21.780      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   119.000    21.780     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   119.000    21.780     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   119.000    21.780    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   119.000    21.780    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
   119.000    21.780    20.000     6.383      .000      .000     3.694      .000      .000     1.728      .000
   119.000    21.780    25.000     6.662      .000      .000     3.855      .000      .000     1.728      .000
